# xo-series master=MPSS window=600s tick=19200000 sampled at 1 Hz
# kernel=#80-fp3 SMP PREEMPT Sat Aug 29 08:52:09 UTC 2026
# t_s  awake_ms  xo_off_ms  dt_s  xo_shutdowns  state
# ☠️ state=down with awake_ms=1000 means the master was ASLEEP THE WHOLE SECOND
#    and the edge-updated counter simply did not advance - NOT 100% awake.
547.7 243.8 786.2 1.030 3 up+cores
548.7 842.7 197.3 1.040 1 up+cores
549.8 595.5 434.5 1.030 4 up
550.8 438.1 591.9 1.030 2 up+cores
551.8 645.8 394.2 1.040 2 up+cores
552.9 452.0 578.0 1.030 3 up+cores
553.9 645.4 394.6 1.040 2 up+cores
554.9 643.4 386.6 1.030 2 up+cores
556.0 437.8 592.2 1.030 3 up+cores
557.0 437.7 592.3 1.030 4 up
558.0 443.3 586.7 1.030 3 up
559.1 447.0 593.0 1.040 2 up+cores
560.1 758.8 271.2 1.030 2 up+cores
561.1 461.5 578.5 1.040 3 up+cores
562.2 1030.0 0.0 1.030 1 up
563.2 252.3 787.7 1.040 3 up+cores
564.2 438.1 591.9 1.030 3 up+cores
565.3 1030.0 0.0 1.030 1 up
566.3 248.6 781.4 1.030 3 up+cores
567.3 448.2 591.8 1.040 3 up+cores
568.4 453.0 577.0 1.030 4 up
569.4 448.2 591.8 1.040 3 up
570.4 832.8 197.2 1.030 0 up+cores
571.5 447.6 582.4 1.030 3 up+cores
572.5 843.5 196.5 1.040 2 up
573.5 437.9 592.1 1.030 3 up
574.6 211.0 819.0 1.030 3 up+cores
575.6 817.7 212.3 1.030 1 up+cores
576.6 546.4 493.6 1.040 4 up
577.7 462.0 578.0 1.040 3 up
578.7 247.7 782.3 1.030 3 up+cores
579.7 438.9 591.1 1.030 3 up+cores
580.8 635.5 394.5 1.030 2 up+cores
581.8 966.8 63.2 1.030 1 up+cores
582.8 844.1 195.9 1.040 2 up
583.9 241.4 788.6 1.030 3 up+cores
584.9 452.4 577.6 1.030 3 up+cores
585.9 447.8 592.2 1.040 3 up+cores
587.0 1030.0 0.0 1.030 1 up
588.0 255.9 784.1 1.040 3 up+cores
589.0 447.9 592.1 1.040 3 up+cores
590.1 397.6 622.4 1.020 4 up
591.1 416.8 623.2 1.040 3 up
592.1 817.6 212.4 1.030 0 up+cores
593.2 666.3 373.7 1.040 2 up+cores
594.2 468.0 562.0 1.030 4 up
595.2 468.7 561.3 1.030 3 up
596.3 481.6 558.4 1.040 3 up
597.3 659.1 370.9 1.030 1 up+cores
598.3 625.6 404.4 1.030 3 up+cores
599.4 478.0 562.0 1.040 4 up
600.4 482.0 558.0 1.040 3 up
